Ref,Val,Package,PosX,PosY,Rot,Side
"J26","AudioJack2_SwitchT","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",120.846000,-50.510000,180.000000,top
"J27","Conn_01x03_Male_Pin","PinHeader_1x03_P2.54mm_Vertical",151.028000,-60.430000,-90.000000,top
"J29","AudioJack2_SwitchT","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",148.503000,-50.510000,180.000000,top
"J30","Conn_01x03_Male_Pin","PinHeader_1x03_P2.54mm_Vertical",178.685000,-60.430000,-90.000000,top
"J32","AudioJack2_SwitchT","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",176.160000,-50.510000,180.000000,top
"J33","Conn_01x03_Male_Pin","PinHeader_1x03_P2.54mm_Vertical",206.342000,-60.430000,-90.000000,top
"J35","AudioJack2_SwitchT","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",203.817000,-50.510000,180.000000,top
"J36","Conn_01x03_Male_Pin","PinHeader_1x03_P2.54mm_Vertical",233.999000,-60.430000,-90.000000,top
"J38","AudioJack2_SwitchT","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",231.474000,-50.510000,180.000000,top
"J40","Conn_01x03_Female_Pin","PinSocket_1x03_P2.54mm_Vertical",37.525000,-120.180000,-90.000000,top
"J42","AudioJack2_SwitchT","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",35.000000,-97.000000,0.000000,top
"J44","Conn_01x03_Female_Pin","PinSocket_1x03_P2.54mm_Vertical",62.775000,-120.180000,-90.000000,top
"J46","AudioJack2_SwitchT","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",60.250000,-97.000000,0.000000,top
"J48","Conn_01x03_Female_Pin","PinSocket_1x03_P2.54mm_Vertical",88.025000,-120.180000,-90.000000,top
