Designator,Mid X,Mid Y,Rotation,Layer
R136,172.657,-56.097,180.0,bottom
R137,172.7445,-61.597,0.0,bottom
R138,154.907,-44.8827,0.0,bottom
R139,180.157,-52.7399,180.0,bottom
R14,51.948,-96.85445,90.0,bottom
R140,180.157,-56.6684,180.0,bottom
R141,180.0695,-60.597,180.0,bottom
R145,180.157,-44.8827,0.0,bottom
R146,205.407,-48.8113,180.0,bottom
R147,197.907,-56.097,180.0,bottom
R148,197.9945,-61.597,0.0,bottom
R149,205.407,-44.8827,0.0,bottom
R15,61.0355,-110.85445,180.0,bottom
R150,205.407,-52.7399,180.0,bottom
R151,205.407,-56.6684,180.0,bottom
R152,205.3195,-60.597,180.0,bottom
R153,33.2445,-33.097,180.0,bottom
R154,58.4945,-33.097,180.0,bottom
R155,83.7445,-33.097,180.0,bottom
R156,108.9945,-33.097,180.0,bottom
R157,134.2445,-33.097,180.0,bottom
R158,159.4945,-33.097,180.0,bottom
R159,184.7445,-33.097,180.0,bottom
R16,51.448,-86.35445,90.0,bottom
R160,43.422143,-95.94445,180.0,bottom
R161,72.448,-95.85445,180.0,bottom
R162,101.473857,-95.85445,180.0,bottom
R163,130.499714,-95.85445,180.0,bottom
R164,159.525572,-95.85445,180.0,bottom
R165,188.551429,-95.85445,180.0,bottom
R166,217.577286,-95.85445,180.0,bottom
R167,246.853143,-95.85445,180.0,bottom
R168,209.9945,-33.097,180.0,bottom
R17,39.047,-27.957,0.0,bottom
R18,64.297,-27.957,0.0,bottom
R19,90.061357,-117.85445,180.0,bottom
R2,222.047,-36.457,180.0,bottom
R20,80.973857,-100.85445,90.0,bottom
R21,90.061357,-114.35445,180.0,bottom
R22,80.973857,-96.85445,90.0,bottom
R23,90.061357,-110.85445,180.0,bottom
R24,80.473857,-86.35445,90.0,bottom
R25,89.547,-27.957,0.0,bottom
R26,114.797,-27.957,0.0,bottom
R27,119.087214,-117.85445,180.0,bottom
R28,109.999714,-100.85445,90.0,bottom
R29,119.087214,-114.35445,180.0,bottom
R3,32.009643,-117.94445,180.0,bottom
R30,109.999714,-96.85445,90.0,bottom
R31,119.087214,-110.85445,180.0,bottom
R32,109.499714,-86.35445,90.0,bottom
R33,140.047,-27.957,0.0,bottom
R34,165.297,-27.957,0.0,bottom
R35,148.113072,-117.85445,180.0,bottom
R36,139.025572,-100.85445,90.0,bottom
R37,148.113072,-114.35445,180.0,bottom
R38,139.025572,-96.85445,90.0,bottom
R39,148.113072,-110.85445,180.0,bottom
R4,22.922143,-100.94445,90.0,bottom
R40,138.525572,-86.35445,90.0,bottom
R41,190.547,-27.957,0.0,bottom
R42,215.797,-27.957,0.0,bottom
R43,177.138929,-117.85445,180.0,bottom
R44,168.051429,-100.85445,90.0,bottom
R45,177.138929,-114.35445,180.0,bottom
R46,168.051429,-96.85445,90.0,bottom
R47,177.138929,-110.85445,180.0,bottom
R48,167.551429,-86.35445,90.0,bottom
R5,32.009643,-114.44445,180.0,bottom
R51,206.164786,-117.85445,180.0,bottom
R52,197.077286,-100.85445,90.0,bottom
R53,206.164786,-114.35445,180.0,bottom
R54,197.077286,-96.85445,90.0,bottom
R55,206.164786,-110.85445,180.0,bottom
R56,196.577286,-86.35445,90.0,bottom
R59,235.440643,-117.85445,180.0,bottom
R6,22.922143,-96.94445,90.0,bottom
R60,226.353143,-100.85445,90.0,bottom
R61,235.440643,-114.35445,180.0,bottom
R62,226.353143,-96.85445,90.0,bottom
R63,235.440643,-110.85445,180.0,bottom
R64,225.853143,-86.35445,90.0,bottom
R68,32.009643,-107.94445,0.0,bottom
R69,28.657,-48.8113,180.0,bottom
R7,32.009643,-110.94445,180.0,bottom
R70,21.157,-56.097,180.0,bottom
R71,21.2445,-61.597,0.0,bottom
R72,61.0355,-107.85445,0.0,bottom
R73,28.657,-52.7399,180.0,bottom
R74,28.657,-56.6684,180.0,bottom
R75,28.5695,-60.597,180.0,bottom
R79,90.061357,-107.85445,0.0,bottom
R8,22.422143,-86.44445,90.0,bottom
R80,53.907,-48.8113,180.0,bottom
R81,46.407,-56.097,180.0,bottom
R82,46.4945,-61.597,0.0,bottom
R83,119.087214,-107.85445,0.0,bottom
R84,53.907,-52.7399,180.0,bottom
R85,53.907,-56.6684,180.0,bottom
R86,53.8195,-60.597,180.0,bottom
R9,222.047,-69.457,180.0,bottom
R90,148.113072,-107.85445,0.0,bottom
R91,79.157,-48.8113,180.0,bottom
R92,71.657,-56.097,180.0,bottom
R93,71.7445,-61.597,0.0,bottom
R94,177.138929,-107.85445,0.0,bottom
R95,79.157,-52.7399,180.0,bottom
R96,79.157,-56.6684,180.0,bottom
R97,79.0695,-60.597,180.0,bottom
RV1,29.532143,-83.94445,0.0,top
RV2,58.558,-83.85445,0.0,top
RV3,87.583857,-83.85445,0.0,top
RV4,116.609714,-83.85445,0.0,top
RV5,145.635572,-83.85445,0.0,top
RV6,174.661429,-83.85445,0.0,top
RV7,203.687286,-83.85445,0.0,top
RV8,232.963143,-83.85445,0.0,top
U1,127.547,-70.957,90.0,bottom
U10,233.853143,-98.82945,0.0,bottom
U11,38.5195,-33.947,180.0,bottom
U12,31.447,-25.572,0.0,bottom
U13,63.7695,-33.947,180.0,bottom
U14,56.697,-25.572,0.0,bottom
U15,89.0195,-33.947,180.0,bottom
U16,81.947,-25.572,0.0,bottom
U17,114.2695,-33.947,180.0,bottom
U18,107.197,-25.572,0.0,bottom
U19,139.5195,-33.947,180.0,bottom
U20,132.447,-25.572,0.0,bottom
U21,164.7695,-33.947,180.0,bottom
U22,157.697,-25.572,0.0,bottom
U23,190.0195,-33.947,180.0,bottom
U24,182.947,-25.572,0.0,bottom
U25,215.2695,-33.947,180.0,bottom
U26,208.197,-25.572,0.0,bottom
U3,30.422143,-98.91945,0.0,bottom
U4,59.448,-98.82945,0.0,bottom
U5,88.473857,-98.82945,0.0,bottom
U6,117.499714,-98.82945,0.0,bottom
U7,146.525572,-98.82945,0.0,bottom
U8,175.551429,-98.82945,0.0,bottom
U9,204.577286,-98.82945,0.0,bottom
