Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100uF","CP_Radial_D5.0mm_P2.50mm",77.500000,-72.910000,180.000000,bottom
"C2","100uF","CP_Radial_D5.0mm_P2.50mm",51.000000,-72.910000,180.000000,bottom
"C3","100uF","CP_Radial_D5.0mm_P2.50mm",70.860200,-72.910000,180.000000,bottom
"C4","100uF","CP_Radial_D5.0mm_P2.50mm",44.360200,-72.910000,180.000000,bottom
"C5","100uF","CP_Radial_D5.0mm_P2.50mm",64.220500,-72.910000,180.000000,bottom
"C6","100uF","CP_Radial_D5.0mm_P2.50mm",37.720500,-72.910000,180.000000,bottom
"C7","100uF","CP_Radial_D5.0mm_P2.50mm",57.580700,-72.910000,180.000000,bottom
"C8","100uF","CP_Radial_D5.0mm_P2.50mm",31.080700,-72.910000,180.000000,bottom
"C9","1n","C_0805_2012Metric",39.529000,-26.410000,90.000000,bottom
"C10","1n","C_0805_2012Metric",67.186000,-26.410000,90.000000,bottom
"C11","1n","C_0805_2012Metric",94.843000,-26.410000,90.000000,bottom
"C12","1n","C_0805_2012Metric",122.500000,-26.410000,90.000000,bottom
"C13","1n","C_0805_2012Metric",150.157000,-26.410000,90.000000,bottom
"C14","1n","C_0805_2012Metric",177.814000,-26.410000,90.000000,bottom
"C15","1n","C_0805_2012Metric",205.471000,-26.410000,90.000000,bottom
"C16","1n","C_0805_2012Metric",233.128000,-26.410000,90.000000,bottom
"D4","1N4148","D_SOD-123",38.529000,-32.984300,-90.000000,bottom
"D5","1N4148","D_SOD-123",42.079000,-32.984300,-90.000000,bottom
"D10","1N4148","D_SOD-123",66.186000,-32.984300,-90.000000,bottom
"D11","1N4148","D_SOD-123",69.736000,-32.984300,-90.000000,bottom
"D16","1N4148","D_SOD-123",97.314000,-32.984300,-90.000000,bottom
"D17","1N4148","D_SOD-123",93.843000,-32.984300,-90.000000,bottom
"D22","1N4148","D_SOD-123",121.500000,-32.984300,-90.000000,bottom
"D23","1N4148","D_SOD-123",125.050000,-32.984300,-90.000000,bottom
"D28","1N4148","D_SOD-123",149.157000,-32.984300,-90.000000,bottom
"D29","1N4148","D_SOD-123",152.707000,-32.984300,-90.000000,bottom
"D34","1N4148","D_SOD-123",176.814000,-32.984300,-90.000000,bottom
"D35","1N4148","D_SOD-123",180.364000,-32.984300,-90.000000,bottom
"D40","1N4148","D_SOD-123",204.471000,-32.984300,-90.000000,bottom
"D41","1N4148","D_SOD-123",208.021000,-32.984300,-90.000000,bottom
"D46","1N4148","D_SOD-123",232.128000,-32.984300,-90.000000,bottom
"D47","1N4148","D_SOD-123",235.678000,-32.984300,-90.000000,bottom
"J39","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",20.500000,-95.535000,0.000000,bottom
"J43","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",45.750000,-95.535000,0.000000,bottom
"J47","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",71.000000,-95.535000,0.000000,bottom
"J51","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",96.250000,-95.535000,0.000000,bottom
"J55","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",121.500000,-95.535000,0.000000,bottom
"J59","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",146.750000,-95.535000,0.000000,bottom
"J63","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",172.000000,-95.535000,0.000000,bottom
"J67","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",197.250000,-95.535000,0.000000,bottom
"J71","Conn_01x03_Male_Pin","PinHeader_1x03_P2.54mm_Vertical",24.500000,-75.300000,0.000000,bottom
"J72","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",20.000000,-74.410000,0.000000,bottom
"R3","1K","R_0805_2012Metric",27.489000,-60.910000,0.000000,bottom
"R4","300k","R_0805_2012Metric",20.029000,-47.900000,-90.000000,bottom
"R5","128R","R_0805_2012Metric",20.029000,-42.400000,-90.000000,bottom
"R6","110K","R_0805_2012Metric",27.484000,-63.910000,0.000000,bottom
"R7","128R","R_0805_2012Metric",20.000000,-36.900000,-90.000000,bottom
"R8","150K","R_0805_2012Metric",20.000000,-31.365000,-90.000000,bottom
"R11","1K","R_0805_2012Metric",55.146000,-60.910000,0.000000,bottom
"R12","300k","R_0805_2012Metric",47.686000,-42.400000,-90.000000,bottom
"R13","128R","R_0805_2012Metric",55.146000,-57.910000,0.000000,bottom
"R14","110K","R_0805_2012Metric",47.657000,-36.900000,-90.000000,bottom
"R15","128R","R_0805_2012Metric",55.141000,-54.910000,0.000000,bottom
"R16","150K","R_0805_2012Metric",47.657000,-31.365000,-90.000000,bottom
"R19","1K","R_0805_2012Metric",82.803000,-60.910000,0.000000,bottom
"R20","300k","R_0805_2012Metric",75.343000,-42.400000,-90.000000,bottom
"R21","128R","R_0805_2012Metric",82.803000,-57.910000,0.000000,bottom
"R22","110K","R_0805_2012Metric",75.314000,-36.900000,-90.000000,bottom
"R23","128R","R_0805_2012Metric",82.798000,-54.910000,0.000000,bottom
"R24","150K","R_0805_2012Metric",75.314000,-31.365000,-90.000000,bottom
"R27","1K","R_0805_2012Metric",110.460000,-60.910000,0.000000,bottom
"R28","300k","R_0805_2012Metric",103.000000,-42.400000,-90.000000,bottom
